,seconds,bot_score
4082,9.0,0.67
4146,1468.0,0.16
51536,94.0,0.26
56745,9.0,0.55
57097,291.0,0.04
61084,10.0,0.68
61407,338.0,0.68
62475,13.0,0.68
63031,554.0,0.17
63084,1744.0,0.17
99752,270.0,0.73
109272,25.0,0.03
114480,1287.0,0.53
160454,2436.0,0.89
182353,103.0,0.9400000000000001
182364,119.0,0.97
182697,749.0,0.98
182710,306.0,0.2
182726,795.0,0.85
182735,825.0,0.87
182740,838.0,0.8300000000000001
182991,1258.0,0.96
183255,1741.0,1.0
183344,1955.0,0.99
183827,2875.0,0.9500000000000001
183996,3225.0,0.23
189447,255.0,0.62
208765,89.0,0.21
216504,3316.0,0.65
219832,27.0,0.02
219889,2845.0,0.36
219985,212.0,0.25
225950,352.0,0.31
226102,231.0,0.97
226120,2202.0,0.86
226125,2866.0,0.93
238218,8.0,0.26
